game_pk,player_id,actual_batter_hits,actual_batter_total_bases,actual_batter_home_runs,actual_pitcher_strikeouts,actual_pitcher_outs,actual_pitcher_hits_allowed
822931,476594,,,,,,
822931,543760,1.0,2.0,0.0,,,
822931,571927,,,,1.0,7.0,0.0
822931,592155,,,,1.0,4.0,3.0
822931,596019,1.0,1.0,0.0,,,
822931,606965,,,,0.0,2.0,4.0
822931,607259,,,,,,
822931,620443,0.0,0.0,0.0,,,
822931,622761,,,,,,
822931,640455,,,,,,
822931,641329,,,,0.0,3.0,1.0
822931,642376,,,,,,
822931,642547,,,,,,
822931,643377,,,,1.0,8.0,7.0
822931,650490,1.0,1.0,0.0,,,
822931,650960,,,,1.0,4.0,0.0
822931,655889,,,,3.0,5.0,3.0
822931,656775,1.0,1.0,0.0,,,
822931,656876,,,,,,
822931,663556,,,,,,
822931,663743,,,,,,
822931,663795,,,,2.0,9.0,2.0
822931,664076,,,,,,
822931,665506,,,,,,
822931,665742,2.0,5.0,1.0,,,
822931,666018,1.0,1.0,0.0,,,
822931,666182,2.0,3.0,0.0,,,
822931,666624,,,,,,
822931,668723,,,,,,
822931,668901,1.0,1.0,0.0,,,
822931,668984,,,,,,
822931,669330,,,,,,
822931,670764,1.0,2.0,0.0,,,
822931,673380,,,,1.0,4.0,0.0
822931,673540,,,,,,
822931,676356,0.0,0.0,0.0,,,
822931,676724,1.0,1.0,0.0,,,
822931,680700,1.0,4.0,1.0,,,
822931,681035,,,,,,
822931,681320,,,,2.0,5.0,1.0
822931,681810,,,,,,
822931,682626,,,,,,
822931,683146,1.0,2.0,0.0,,,
822931,683748,0.0,0.0,0.0,,,
822931,687330,,,,,,
822931,689414,0.0,0.0,0.0,,,
822931,690997,,,,,,
822931,691406,0.0,0.0,0.0,,,
822931,693855,,,,,,
822931,700652,,,,,,
822931,701807,2.0,2.0,0.0,,,
822931,702752,,,,1.0,3.0,0.0
822931,703492,2.0,3.0,0.0,,,
822931,802415,2.0,2.0,0.0,,,
822931,804267,,,,,,
822931,805999,1.0,1.0,0.0,,,
823339,489446,,,,,,
823339,542194,,,,,,
823339,596133,,,,,,
823339,642397,,,,,,
823339,646240,2.0,5.0,1.0,,,
823339,657277,,,,,,
823339,663968,1.0,1.0,0.0,,,
823339,664040,1.0,2.0,0.0,,,
823339,665665,,,,0.0,2.0,1.0
823339,665833,1.0,1.0,0.0,,,
823339,666808,,,,0.0,3.0,1.0
823339,668800,,,,,,
823339,668804,2.0,3.0,0.0,,,
823339,669199,,,,,,
823339,669387,,,,2.0,9.0,0.0
823339,669707,0.0,0.0,0.0,,,
823339,670990,,,,,,
823339,671345,,,,0.0,3.0,1.0
823339,676254,,,,1.0,2.0,1.0
823339,677952,,,,,,
823339,678545,0.0,0.0,0.0,,,
823339,680779,,,,,,
823339,681439,,,,,,
823339,681895,,,,,,
823339,681916,,,,2.0,3.0,1.0
823339,682254,,,,,,
823339,683003,,,,,,
823339,683363,,,,,,
823339,683627,,,,,,
823339,683766,1.0,1.0,0.0,,,
823339,685126,,,,0.0,3.0,1.0
823339,687462,1.0,1.0,0.0,,,
823339,687529,0.0,0.0,0.0,,,
823339,687551,0.0,0.0,0.0,,,
823339,693304,1.0,1.0,0.0,,,
823339,693313,,,,1.0,5.0,2.0
823339,694376,1.0,2.0,0.0,,,
823339,694377,,,,,,
823339,694378,1.0,2.0,0.0,,,
823339,694738,,,,4.0,15.0,2.0
823339,694820,,,,,,
823339,694918,,,,,,
823339,694973,,,,,,
823339,695257,,,,,,
823339,696149,,,,4.0,15.0,5.0
823339,699013,0.0,0.0,0.0,,,
823339,701852,1.0,1.0,0.0,,,
823339,702885,,,,,,
823339,801501,0.0,0.0,0.0,,,
823339,804668,0.0,0.0,0.0,,,
823339,805074,,,,,,
823339,805345,,,,,,
823339,805811,1.0,2.0,0.0,,,
823339,806367,1.0,1.0,0.0,,,
823339,808982,0.0,0.0,0.0,,,
823339,813841,0.0,0.0,0.0,,,
823660,445276,,,,1.0,1.0,1.0
823660,573124,,,,1.0,2.0,1.0
823660,595879,1.0,2.0,0.0,,,
823660,605137,2.0,2.0,0.0,,,
823660,605170,0.0,0.0,0.0,,,
823660,621097,,,,1.0,4.0,0.0
823660,621345,,,,1.0,4.0,1.0
823660,623454,,,,5.0,17.0,3.0
823660,640448,,,,3.0,6.0,2.0
823660,641755,,,,2.0,4.0,0.0
823660,641927,,,,,,
823660,650402,0.0,0.0,0.0,,,
823660,656546,,,,3.0,3.0,0.0
823660,656577,,,,,,
823660,656716,0.0,0.0,0.0,,,
823660,663616,1.0,2.0,0.0,,,
823660,663947,,,,1.0,3.0,1.0
823660,664285,,,,,,
823660,665019,0.0,0.0,0.0,,,
823660,665152,,,,5.0,12.0,6.0
823660,667297,,,,1.0,4.0,3.0
823660,668904,1.0,1.0,0.0,,,
823660,668952,0.0,0.0,0.0,,,
823660,670183,,,,,,
823660,671737,,,,,,
823660,672456,,,,,,
823660,672782,,,,1.0,5.0,0.0
823660,675512,,,,,,
823660,679529,1.0,4.0,1.0,,,
823660,680664,2.0,3.0,0.0,,,
823660,680777,1.0,2.0,0.0,,,
823660,681892,,,,2.0,5.0,3.0
823660,682985,1.0,2.0,0.0,,,
823660,686797,3.0,3.0,0.0,,,
823660,687570,,,,,,
823660,689225,,,,,,
823660,690993,1.0,1.0,0.0,,,
823660,693307,,,,,,
823660,694224,0.0,0.0,0.0,,,
823660,695549,,,,,,
823660,700270,,,,,,
823660,701162,2.0,2.0,0.0,,,
823660,701519,,,,0.0,1.0,0.0
823660,701678,1.0,1.0,0.0,,,
823660,701785,0.0,0.0,0.0,,,
823660,702193,,,,,,
823660,703601,3.0,6.0,0.0,,,
823660,805346,0.0,0.0,0.0,,,
823660,805427,,,,1.0,1.0,2.0
823660,805673,,,,,,
823660,805805,0.0,0.0,0.0,,,
823660,805808,0.0,0.0,0.0,,,
823660,807712,1.0,1.0,0.0,,,
823660,807726,2.0,3.0,0.0,,,
823660,808825,,,,,,
823660,814430,0.0,0.0,0.0,,,
823906,500743,1.0,2.0,0.0,,,
823906,518692,2.0,5.0,1.0,,,
823906,571771,0.0,0.0,0.0,,,
823906,571970,0.0,0.0,0.0,,,
823906,592773,,,,1.0,3.0,2.0
823906,592779,,,,1.0,3.0,3.0
823906,595014,,,,,,
823906,602104,0.0,0.0,0.0,,,
823906,605141,2.0,6.0,1.0,,,
823906,605483,,,,,,
823906,606192,3.0,4.0,0.0,,,
823906,607192,,,,,,
823906,623465,,,,,,
823906,656945,,,,0.0,3.0,1.0
823906,660271,0.0,0.0,0.0,,,
823906,663494,0.0,0.0,0.0,,,
823906,663656,1.0,1.0,0.0,,,
823906,665877,1.0,1.0,0.0,,,
823906,666277,,,,1.0,3.0,3.0
823906,669165,,,,,,
823906,669242,1.0,1.0,0.0,,,
823906,669257,0.0,0.0,0.0,,,
823906,669357,0.0,0.0,0.0,,,
823906,669373,,,,,,
823906,669461,,,,,,
823906,669743,,,,,,
823906,671056,0.0,0.0,0.0,,,
823906,676263,,,,0.0,3.0,0.0
823906,676439,1.0,1.0,0.0,,,
823906,676475,0.0,0.0,0.0,,,
823906,676617,,,,1.0,3.0,0.0
823906,677865,,,,1.0,3.0,1.0
823906,678020,,,,,,
823906,680736,,,,,,
823906,681517,,,,,,
823906,681676,,,,2.0,3.0,0.0
823906,681911,,,,,,
823906,683618,,,,,,
823906,684516,,,,,,
823906,685464,,,,,,
823906,686780,,,,,,
823906,687221,0.0,0.0,0.0,,,
823906,687273,,,,,,
823906,687363,0.0,0.0,0.0,,,
823906,690976,0.0,0.0,0.0,,,
823906,691023,1.0,2.0,0.0,,,
823906,693409,,,,,,
823906,695336,2.0,5.0,1.0,,,
823906,695491,2.0,4.0,0.0,,,
823906,699024,1.0,4.0,1.0,,,
823906,700241,,,,,,
823906,700669,,,,6.0,9.0,3.0
823906,701675,2.0,2.0,0.0,,,
823906,703725,,,,1.0,3.0,0.0
823906,802408,,,,0.0,3.0,2.0
823906,808967,,,,8.0,21.0,5.0
823983,502671,2.0,2.0,0.0,,,
823983,518595,0.0,0.0,0.0,,,
823983,543037,,,,,,
823983,545361,1.0,1.0,0.0,,,
823983,579328,,,,,,
823983,605242,,,,1.0,3.0,1.0
823983,607074,,,,,,
823983,608331,,,,,,
823983,621112,,,,,,
823983,623168,0.0,0.0,0.0,,,
823983,624428,0.0,0.0,0.0,,,
823983,641355,3.0,3.0,0.0,,,
823983,641857,0.0,0.0,0.0,,,
823983,642048,,,,,,
823983,642232,,,,,,
