game_pk,game_date,game_datetime,away_team,home_team,venue,away_probable_pitcher,home_probable_pitcher,away_probable_pitcher_id,home_probable_pitcher_id,status,home_win_probability,away_win_probability,expected_home_runs,expected_away_runs,expected_total_runs,home_fair_odds,away_fair_odds,model_confidence,forecast_issued_at,temperature_f,humidity_pct,wind_speed_mph,precipitation_in,roof_control_factor,weather_source,starter_data_complete,weather_data_complete,best_away_odds,best_home_odds,away_book,home_book,home_implied_probability,away_implied_probability,home_market_probability_novig,away_market_probability_novig,home_edge,away_edge,home_ev_per_unit,away_ev_per_unit,model_signal,best_ev_per_unit,is_final,actual_status,actual_away_runs,actual_home_runs,actual_home_win,pick_home,pick_correct,actual_total_runs,total_error,home_error,away_error,bet_side,bet_result,profit_units
822931,2026-09-02,2026-09-02 22:40:00+00:00,NYM,TB,Tropicana Field,Justin Hagenman,Griffin Jax,663795.0,643377,Warmup,0.6572458656508945,0.3427541343491055,4.628497443668022,3.612355260151295,8.240852703819318,-192,192,0.314491731301789,2026-09-02 22:27:53.003297+00:00,82.1,86.0,10.6,0.0,1.0,open-meteo-live,True,True,161.0,-178,LowVig.ag,LowVig.ag,0.6402877697841727,0.3831417624521073,0.6256295617980554,0.3743704382019445,0.031616303852839,-0.031616303852839,0.0264851160165655,-0.1054117093488345,HOME VALUE,0.0264851160165655,True,Final,10,4,0,1,False,14,5.759147296180682,0.6284974436680217,6.387644739848705,HOME,LOSS,-1.0
823339,2026-09-02,2026-09-02 22:40:00+00:00,SF,PIT,PNC Park,Landen Roupp,Bubba Chandler,694738.0,696149,Warmup,0.4567170016627097,0.5432829983372903,4.814743875379129,5.623981504715612,10.43872538009474,119,-119,0.0865659966745806,2026-09-02 22:27:53.003297+00:00,89.8,48.0,8.2,0.0,0.0,open-meteo-live,True,True,136.0,-150,BetOnline.ag,BetOnline.ag,0.6,0.423728813559322,0.5860927152317882,0.413907284768212,-0.1293757135690785,0.1293757135690783,-0.2388049972288172,0.2821478760760052,AWAY VALUE,0.2821478760760052,True,Final,5,4,0,0,True,9,1.4387253800947395,0.8147438753791292,0.6239815047156121,AWAY,WIN,1.36
823660,2026-09-02,2026-09-02 23:40:00+00:00,DET,MIN,Target Field,Drew Anderson,Dean Kremer,623454.0,665152,Pre-Game,0.5852592752458805,0.4147407247541195,4.98361657163013,4.226509581409509,9.21012615303964,-141,141,0.170518550491761,2026-09-02 22:27:53.003297+00:00,85.9,43.0,3.6,0.0,0.0,open-meteo-live,True,True,105.0,-106,BetUS,BetRivers,0.5145631067961165,0.4878048780487805,0.5133475076777699,0.48665249232223,0.0719117675681105,-0.0719117675681105,0.1373906669872772,-0.149781514254055,HOME VALUE,0.1373906669872772,True,Final,11,6,0,1,False,17,7.78987384696036,1.0163834283698696,6.773490418590491,HOME,LOSS,-1.0
823906,2026-09-02,2026-09-03 02:10:00+00:00,STL,LAD,UNIQLO Field at Dodger Stadium,,Yoshinobu Yamamoto,,808967,Scheduled,0.6201764979604012,0.3798235020395988,5.117574680158829,4.226125413657985,9.343700093816814,-163,163,0.2403529959208024,,,,,,,,False,False,248.0,-280,BetOnline.ag,BetOnline.ag,0.7368421052631579,0.2873563218390804,0.7194329592439458,0.2805670407560544,-0.0992564612835446,0.0992564612835444,-0.1583318956251698,0.3217857870978038,AWAY VALUE,0.3217857870978038,True,Final,8,6,0,1,False,14,4.656299906183186,0.8824253198411709,3.773874586342015,AWAY,WIN,2.48
823983,2026-09-02,2026-09-03 01:38:00+00:00,NYY,LAA,Angel Stadium,Cam Schlittler,Reid Detmers,693645.0,672282,Pre-Game,0.4609362007392684,0.5390637992607316,4.166888708702932,4.261726159000894,8.428614867703825,117,-117,0.0781275985214631,2026-09-02 22:27:53.003297+00:00,72.8,63.0,6.7,0.0,0.0,open-meteo-live,True,True,-156.0,143,BetUS,LowVig.ag,0.411522633744856,0.609375,0.4030988221956289,0.5969011778043711,0.0578373785436395,-0.0578373785436395,0.1200749677964222,-0.1153824832644405,HOME VALUE,0.1200749677964222,True,Final,6,3,0,0,True,9,0.5713851322961752,1.166888708702932,1.7382738409991063,HOME,LOSS,-1.0
824068,2026-09-02,2026-09-02 23:40:00+00:00,MIA,KC,Kauffman Stadium,Eury Pérez,Noah Cameron,691587.0,702070,Pre-Game,0.5347690557679684,0.4652309442320316,5.034816770685641,4.742014300671373,9.776831071357014,-115,115,0.0695381115359368,2026-09-02 22:27:53.003297+00:00,97.1,28.0,7.0,0.0,0.0,open-meteo-live,True,True,-112.0,109,FanDuel,BetOnline.ag,0.4784688995215311,0.5283018867924528,0.4752510760401722,0.5247489239598279,0.0595179797277962,-0.0595179797277962,0.1176673265550539,-0.1193842841322259,HOME VALUE,0.1176673265550539,True,Final,9,6,0,1,False,15,5.223168928642986,0.9651832293143592,4.257985699328627,HOME,LOSS,-1.0
824147,2026-09-02,2026-09-03 00:10:00+00:00,CWS,HOU,Daikin Park,Davis Martin,Hayden Wesneski,663436.0,669713,Pre-Game,0.5774344458421609,0.4225655541578391,4.446612419385061,4.152926105319869,8.59953852470493,-137,137,0.1548688916843217,2026-09-02 22:27:53.003297+00:00,83.7,79.0,9.6,0.0,0.5,open-meteo-live,True,True,139.0,-150,Bovada,BetOnline.ag,0.6,0.4184100418410041,0.5891536565324568,0.4108463434675431,-0.0117192106902959,0.011719210690296,-0.0376092569297319,0.0099316744372355,PASS,0.0099316744372355,True,Final,0,2,1,1,True,2,6.599538524704929,2.446612419385061,4.152926105319869,,NO BET,
824312,2026-09-02,2026-09-02 19:10:00+00:00,BAL,COL,Coors Field,Trevor Rogers,Tomoyuki Sugano,669432.0,608372,In Progress,0.393598868912233,0.6064011310877669,4.236438409742584,5.481814761779238,9.71825317152182,154,-154,0.2128022621755338,2026-09-02 22:27:53.003297+00:00,88.0,20.0,4.9,0.0,0.0,open-meteo-live,True,True,-700.0,650,BetMGM,Bovada,0.1333333333333333,0.875,0.1322314049586777,0.8677685950413223,0.2613674639535553,-0.2613674639535553,1.951991516841748,-0.3069701358996949,HOME VALUE,1.951991516841748,True,Final,5,6,1,0,False,11,1.2817468284781803,1.7635615902574164,0.4818147617792379,HOME,WIN,6.5
824390,2026-09-02,2026-09-02 22:40:00+00:00,TOR,CLE,Progressive Field,Dylan Cease,Joey Cantillo,656302.0,676282,Warmup,0.5219075814592748,0.4780924185407251,4.4067498675228425,4.252071343615304,8.658821211138147,-109,109,0.0438151629185497,2026-09-02 22:27:53.003297+00:00,86.9,60.0,5.6,0.0,0.0,open-meteo-live,True,True,-125.0,116,LowVig.ag,BetRivers,0.4629629629629629,0.5555555555555556,0.4545454545454545,0.5454545454545454,0.0673621269138203,-0.0673621269138202,0.1273203759520336,-0.1394336466266947,HOME VALUE,0.1273203759520336,True,Final,11,0,0,1,False,11,2.3411787888618534,4.4067498675228425,6.747928656384696,HOME,LOSS,-1.0
824634,2026-09-02,2026-09-02 23:40:00+00:00,MIL,CHC,Wrigley Field,Jacob Misiorowski,David Peterson,694819.0,656849,Pre-Game,0.4853087657021185,0.5146912342978814,5.080585819827048,5.35833454586305,10.438920365690098,106,-106,0.0293824685957628,2026-09-02 22:27:53.003297+00:00,88.5,56.0,5.6,0.0,0.0,open-meteo-live,True,True,-141.0,133,LowVig.ag,BetRivers,0.4291845493562232,0.5850622406639004,0.4231559355960178,0.5768440644039823,0.0621528301061007,-0.0621528301061008,0.1307694240859362,-0.1202795215192238,HOME VALUE,0.1307694240859362,True,Final,9,5,0,0,True,14,3.561079634309902,0.08058581982704816,3.64166545413695,HOME,LOSS,-1.0
824717,2026-09-02,2026-09-02 20:10:00+00:00,SEA,BOS,Fenway Park,Bryce Miller,Patrick Sandoval,682243.0,663776,In Progress,0.5412473502804886,0.4587526497195113,5.183593786262471,4.659037900051152,9.842631686313624,-118,118,0.0824947005609773,2026-09-02 22:27:53.003297+00:00,71.8,63.0,10.9,0.0,0.0,open-meteo-live,True,True,,3500,,FanDuel,0.0277777777777777,,,,,,18.48490461009759,,PASS,18.48490461009759,True,Final,8,3,0,1,False,11,1.1573683136863764,2.1835937862624712,3.3409620999488476,,NO BET,
