game_pk,game_datetime,away_team,home_team,team,opponent,is_home,player_id,player_name,player_type,lineup_status,batting_order,pitcher_k_per_start,pitcher_outs_per_start,pitcher_hits_allowed_per_start,pitcher_pitches_per_start,pitcher_bf_per_start,pitcher_k_rate,pitcher_whiff_rate,pitcher_called_strike_rate,pitcher_xwoba_allowed,pitcher_hits_allowed_rate,pitcher_walk_rate,pitcher_velocity,opponent_k_rate,opponent_hits_per_game,opponent_tb_per_game,opponent_pa_per_game,venue,temperature_f,humidity_pct,wind_speed_mph,precipitation_in,roof_control_factor,venue_roof_control_factor,park_hr_factor,market_key,market_label,projection,point,line,over_probability,under_probability,over_fair_odds,under_fair_odds,over_odds,under_odds,over_no_vig_probability,under_no_vig_probability,over_book,under_book,over_edge,under_edge,over_ev_per_unit,under_ev_per_unit,signal,confidence,batter_hits_per_game,batter_tb_per_game,batter_hr_per_game,batter_pa_per_game,batter_hit_rate,batter_tb_rate,batter_hr_rate,batter_k_rate,batter_bb_rate,batter_xwoba,batter_hard_hit_rate,batter_barrel_rate,opposing_pitcher_k_rate,opposing_pitcher_xwoba_allowed,opposing_pitcher_hits_allowed_rate,opposing_pitcher_outs_per_start,best_ev_per_unit,actual_batter_hits,actual_batter_total_bases,actual_batter_home_runs,actual_pitcher_strikeouts,actual_pitcher_outs,actual_pitcher_hits_allowed,actual,graded,projection_error,pick_side,pick_result,profit_units
823978,2026-09-18 01:38:00+00:00,MIN,LAA,LAA,MIN,1,623168,Tyler Heineman,batter,confirmed,9.0,,,,,,,,,,,,,,,,,Angel Stadium,71.7,64.0,6.6,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,0.9762226632219656,,1.5,0.2697302697302697,0.7302697302697303,271,-271,,,,,,,,,,,UNDER LEAN,0.4605394605394605,0.4666666666666667,0.5333333333333333,0.0,3.2666666666666666,0.13,0.1466666666666666,0.0,0.0777777777777777,0.0,0.2143183499999999,0.1111111111111111,0.0,0.2951455955523921,0.2936830898522162,0.175233674889347,17.733333333333334,,0.0,0.0,0.0,,,,0.0,True,0.9762226632219656,UNDER,WIN,
823573,2026-09-17 23:15:00+00:00,PHI,NYM,PHI,NYM,0,596117,Garrett Stubbs,batter,confirmed,9.0,,,,,,,,,,,,,,,,,Citi Field,75.8,79.0,6.6,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.0092516896400978,,1.5,0.2757242757242757,0.7242757242757243,263,-263,,,,,,,,,,,UNDER LEAN,0.4485514485514486,0.4,0.4,0.0,3.333333333333333,0.1333333333333333,0.1333333333333333,0.0,0.2111111111111111,0.0333333333333333,0.2184905277777777,0.1839682539682539,0.0,0.2543151539818206,0.3004016912048569,0.1923083706417039,17.6,,0.0,0.0,0.0,,,,0.0,True,1.0092516896400978,UNDER,WIN,
823978,2026-09-18 01:38:00+00:00,MIN,LAA,MIN,LAA,0,805346,Ben Ross,batter,confirmed,9.0,,,,,,,,,,,,,,,,,Angel Stadium,71.7,64.0,6.6,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.0167379598142607,,1.5,0.2787212787212787,0.7212787212787213,259,-259,,,,,,,,,,,UNDER LEAN,0.4425574425574425,1.0,2.0,0.0,2.0,0.5,1.0,0.0,0.0,0.0,0.414,0.3333333333333333,0.3333333333333333,0.2253150680269179,0.2902226975227819,0.1790775800878102,16.133333333333333,,1.0,2.0,0.0,,,,2.0,True,0.9832620401857393,UNDER,LOSS,
823573,2026-09-17 23:15:00+00:00,PHI,NYM,NYM,PHI,1,703492,Nick Morabito,batter,confirmed,9.0,,,,,,,,,,,,,,,,,Citi Field,75.8,79.0,6.6,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.036692141324104,,1.5,0.2872127872127872,0.7127872127872128,248,-248,,,,,,,,,,,UNDER LEAN,0.4255744255744256,0.3333333333333333,0.3333333333333333,0.0,3.555555555555556,0.0722222222222222,0.0722222222222222,0.0,0.25,0.0777777777777777,0.2843080796296296,0.1722222222222222,0.0,0.2495852215417433,0.304548007186722,0.2204667055971404,16.866666666666667,,1.0,1.0,0.0,,,,1.0,True,0.03669214132410392,UNDER,WIN,
824141,2026-09-17 23:15:00+00:00,KC,HOU,KC,HOU,0,686555,Isaac Collins,batter,confirmed,9.0,,,,,,,,,,,,,,,,,Daikin Park,80.6,94.0,4.0,2.0,0.5,0.5,1.0,batter_total_bases,Batter total bases,1.0728795507498925,,1.5,0.2947052947052947,0.7052947052947053,239,-239,,,,,,,,,,,UNDER LEAN,0.4105894105894105,0.6,0.8666666666666667,0.0,4.0,0.1455555555555555,0.2088888888888888,0.0,0.1844444444444444,0.1988888888888889,0.2926699,0.2636507936507936,0.0,,,,,,0.0,0.0,0.0,,,,0.0,True,1.0728795507498925,UNDER,WIN,
823978,2026-09-18 01:38:00+00:00,MIN,LAA,LAA,MIN,1,672724,Oswald Peraza,batter,confirmed,7.0,,,,,,,,,,,,,,,,,Angel Stadium,71.7,64.0,6.6,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.0738388619205086,,1.5,0.2947052947052947,0.7052947052947053,239,-239,,,,,,,,,,,UNDER LEAN,0.4105894105894105,0.4666666666666667,0.4666666666666667,0.0,3.533333333333333,0.1277777777777777,0.1277777777777777,0.0,0.2966666666666667,0.0888888888888888,0.2511045044444444,0.1292592592592592,0.0,0.2951455955523921,0.2936830898522162,0.175233674889347,17.733333333333334,,2.0,2.0,0.0,,,,2.0,True,0.9261611380794914,UNDER,LOSS,
823573,2026-09-17 23:15:00+00:00,PHI,NYM,NYM,PHI,1,683146,Brett Baty,batter,confirmed,8.0,,,,,,,,,,,,,,,,,Citi Field,75.8,79.0,6.6,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.075785107608017,,1.5,0.2952047952047952,0.7047952047952049,239,-239,,,,,,,,,,,UNDER LEAN,0.4095904095904096,0.8666666666666667,1.4,0.0666666666666666,3.066666666666667,0.33,0.4877777777777778,0.0166666666666666,0.1688888888888889,0.0966666666666666,0.3411883366666667,0.2356349206349206,0.0861111111111111,0.2495852215417433,0.304548007186722,0.2204667055971404,16.866666666666667,,0.0,0.0,0.0,,,,0.0,True,1.075785107608017,UNDER,WIN,
824141,2026-09-17 23:15:00+00:00,KC,HOU,HOU,KC,1,664774,LaMonte Wade Jr.,batter,confirmed,9.0,,,,,,,,,,,,,,,,,Daikin Park,80.6,94.0,4.0,2.0,0.5,0.5,1.0,batter_total_bases,Batter total bases,1.0982769083949628,,1.5,0.3016983016983017,0.6983016983016983,231,-231,,,,,,,,,,,UNDER LEAN,0.3966033966033966,0.5333333333333333,0.6666666666666666,0.0,2.8,0.1777777777777777,0.2166666666666666,0.0,0.2833333333333333,0.0333333333333333,0.2201117722222222,0.2546031746031746,0.0,0.1720737409044045,0.335677522187007,0.2789841965814506,15.333333333333334,,2.0,6.0,1.0,,,,6.0,True,4.901723091605037,UNDER,LOSS,
822845,2026-09-18 00:05:00+00:00,BOS,TEX,BOS,TEX,0,702332,Caleb Durbin,batter,confirmed,8.0,,,,,,,,,,,,,,,,,Globe Life Field,96.4,32.0,6.9,0.0,0.5,0.5,1.0,batter_total_bases,Batter total bases,1.0997434615514357,,1.5,0.3026973026973027,0.6973026973026972,230,-230,,,,,,,,,,,UNDER LEAN,0.3946053946053945,0.6,0.8666666666666667,0.0666666666666666,3.933333333333333,0.1522222222222222,0.2188888888888888,0.0166666666666666,0.1555555555555555,0.16,0.3333342100000001,0.1417460317460317,0.0333333333333333,0.306547619047619,0.2255503541666667,0.0982142857142857,3.75,,0.0,0.0,0.0,,,,0.0,True,1.0997434615514357,UNDER,WIN,
823978,2026-09-18 01:38:00+00:00,MIN,LAA,LAA,MIN,1,642350,Jose Siri,batter,confirmed,8.0,,,,,,,,,,,,,,,,,Angel Stadium,71.7,64.0,6.6,0.0,0.0,0.0,1.0,batter_total_bases,Batter total bases,1.1111367299679074,,1.5,0.3051948051948052,0.6948051948051948,228,-228,,,,,,,,,,,UNDER LEAN,0.3896103896103896,0.6666666666666666,1.0,0.0666666666666666,3.6,0.1688888888888889,0.2577777777777778,0.0166666666666666,0.3044444444444444,0.0555555555555555,0.2854858166666666,0.245079365079365,0.0777777777777777,0.2951455955523921,0.2936830898522162,0.175233674889347,17.733333333333334,,0.0,0.0,0.0,,,,0.0,True,1.1111367299679074,UNDER,WIN,
