game_pk,player_id,actual_batter_hits,actual_batter_total_bases,actual_batter_home_runs,actual_pitcher_strikeouts,actual_pitcher_outs,actual_pitcher_hits_allowed
823903,500743,0.0,0.0,0.0,,,
823903,518692,1.0,1.0,0.0,,,
823903,571771,0.0,0.0,0.0,,,
823903,571970,3.0,4.0,0.0,,,
823903,592779,,,,0.0,3.0,0.0
823903,595014,,,,1.0,3.0,0.0
823903,605141,1.0,4.0,1.0,,,
823903,605483,,,,,,
823903,606192,1.0,1.0,0.0,,,
823903,607192,,,,,,
823903,623465,,,,,,
823903,656945,,,,,,
823903,660271,,,,,,
823903,660688,,,,,,
823903,663362,,,,,,
823903,663623,,,,,,
823903,663656,0.0,0.0,0.0,,,
823903,665953,1.0,1.0,0.0,,,
823903,669242,2.0,3.0,0.0,,,
823903,669257,1.0,1.0,0.0,,,
823903,669373,,,,,,
823903,669743,1.0,1.0,0.0,,,
823903,672613,,,,,,
823903,674841,,,,5.0,13.0,4.0
823903,676263,,,,,,
823903,676272,,,,2.0,9.0,1.0
823903,676439,0.0,0.0,0.0,,,
823903,676917,,,,,,
823903,677588,,,,,,
823903,678020,,,,,,
823903,678391,,,,,,
823903,680736,,,,6.0,9.0,8.0
823903,680899,,,,,,
823903,681911,,,,,,
823903,682928,1.0,4.0,1.0,,,
823903,683000,,,,,,
823903,683083,0.0,0.0,0.0,,,
823903,683618,,,,2.0,3.0,0.0
823903,686611,0.0,0.0,0.0,,,
823903,687377,,,,,,
823903,688692,,,,,,
823903,690925,,,,,,
823903,690976,0.0,0.0,0.0,,,
823903,691002,,,,,,
823903,691384,,,,,,
823903,691781,1.0,1.0,0.0,,,
823903,694673,0.0,0.0,0.0,,,
823903,695378,,,,,,
823903,695418,,,,0.0,5.0,4.0
823903,695578,1.0,1.0,0.0,,,
823903,695670,1.0,2.0,0.0,,,
823903,695734,2.0,4.0,0.0,,,
823903,696285,2.0,2.0,0.0,,,
823903,702021,,,,3.0,6.0,2.0
823903,800600,,,,,,
823903,808967,,,,,,
824552,545341,2.0,5.0,1.0,,,
824552,573124,,,,1.0,2.0,1.0
824552,605137,0.0,0.0,0.0,,,
824552,605170,,,,,,
824552,607200,,,,,,
824552,621345,,,,,,
824552,622491,,,,,,
824552,641743,,,,,,
824552,641927,,,,6.0,13.0,4.0
824552,643217,0.0,0.0,0.0,,,
824552,656546,,,,,,
824552,656577,0.0,0.0,0.0,,,
824552,656794,,,,,,
824552,663436,,,,,,
824552,663542,,,,2.0,5.0,1.0
824552,663616,0.0,0.0,0.0,,,
824552,663855,,,,3.0,4.0,1.0
824552,664353,,,,,,
824552,665019,0.0,0.0,0.0,,,
824552,665152,,,,,,
824552,667297,,,,2.0,3.0,2.0
824552,668670,,,,,,
824552,668904,1.0,1.0,0.0,,,
824552,668952,0.0,0.0,0.0,,,
824552,670183,,,,1.0,1.0,2.0
824552,670950,,,,,,
824552,671737,,,,,,
824552,671976,3.0,5.0,0.0,,,
824552,672782,,,,,,
824552,678246,2.0,2.0,0.0,,,
824552,680732,,,,,,
824552,680777,0.0,0.0,0.0,,,
824552,681892,,,,1.0,2.0,1.0
824552,682668,0.0,0.0,0.0,,,
824552,686668,0.0,0.0,0.0,,,
824552,686797,2.0,5.0,1.0,,,
824552,687570,,,,,,
824552,691019,1.0,4.0,1.0,,,
824552,691799,,,,3.0,6.0,1.0
824552,694224,1.0,1.0,0.0,,,
824552,695657,0.0,0.0,0.0,,,
824552,695731,0.0,0.0,0.0,,,
824552,696146,,,,4.0,9.0,0.0
824552,699823,,,,3.0,3.0,1.0
824552,700337,0.0,0.0,0.0,,,
824552,701519,,,,,,
824552,701785,0.0,0.0,0.0,,,
824552,702193,,,,1.0,3.0,2.0
824552,803011,3.0,6.0,0.0,,,
824552,805326,,,,,,
824552,805346,0.0,0.0,0.0,,,
824552,805367,0.0,0.0,0.0,,,
824552,805673,,,,,,
824552,805805,0.0,0.0,0.0,,,
824552,807712,0.0,0.0,0.0,,,
824552,808959,1.0,1.0,0.0,,,
